,State,District,SOURCE,Latitude,Longitude,Well Depth,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pst_2015,Pst_2016,Pst_2017,Pst_2018,Pst_2015
57,gujarat,Banaskantha,SGWB,24.41,71.82,127.0,60.1,60.5,63.6,64.7,71.9,57.7,57.9,63.2,66.3,70.2
58,gujarat,Banaskantha,SGWB,24.52,71.86,150.0,44.72,47.42,47.82,48.72,53.02,44.42,45.02,46.32,48.62,51.57
59,gujarat,Banaskantha,SGWB,24.52,71.86,151.0,45.2,46.6,50.3,50.5,55.9,44.6,44.7,46.62,48.4,51.0
60,gujarat,Banaskantha,SGWB,24.35,72.17,120.5,87.1,86.2,88.0,90.0,89.3,84.6,86.2,88.0,88.8,89.2
61,gujarat,Banaskantha,SGWB,24.41,71.93,150.0,56.8,61.3,68.1,70.3,80.0,52.7,60.25,64.8,71.2,76.9
62,gujarat,Banaskantha,SGWB,24.32,71.98,90.0,100.4,107.4,114.3,120.0,129.75,96.3,104.8,114.3,121.14,129.7
63,gujarat,Banaskantha,SGWB,24.43,72.1,90.0,94.4,94.8,84.9,83.0,84.34,91.6,81.7,84.35,83.2,84.7
64,gujarat,Banaskantha,SGWB,24.43,72.1,90.0,77.4,74.6,72.4,71.7,72.2,74.1,71.2,72.0,71.4,71.8
65,gujarat,Banaskantha,SGWB,24.55,72.22,120.0,38.5,37.9,39.7,33.1,39.5,35.5,34.2,32.6,34.3,38.1
66,gujarat,Banaskantha,SGWB,24.61,71.93,120.0,58.19,54.69,55.69,56.69,58.69,54.29,54.39,55.69,56.09,55.89
67,gujarat,Banaskantha,SGWB,24.55,71.94,300.0,62.5,63.9,65.1,65.2,73.4,60.3,60.0,64.5,67.7,72.15
68,gujarat,Banaskantha,SGWB,24.18,72.56,148.0,23.9,20.7,24.9,19.7,23.95,17.6,20.0,15.5,19.8,19.0
69,gujarat,Banaskantha,SGWB,24.1,72.43,150.0,69.8,70.8,71.6,64.5,66.6,68.2,69.2,63.8,61.75,62.4
70,gujarat,Banaskantha,SGWB,24.13,72.46,90.0,40.4,45.5,48.6,32.2,47.25,42.2,44.25,33.5,33.95,41.2
71,gujarat,Banaskantha,SGWB,24.51,71.73,57.0,33.3,34.7,36.1,32.9,36.7,31.6,34.4,31.7,32.9,34.8
72,gujarat,Banaskantha,SGWB,24.49,71.92,120.0,93.1,92.7,94.2,101.0,101.3,91.0,91.0,89.0,99.7,97.2
73,gujarat,Banaskantha,SGWB,24.49,71.82,90.0,57.4,58.3,62.4,63.5,69.3,57.4,56.6,60.5,63.4,66.0
74,gujarat,Banaskantha,SGWB,24.5,71.81,57.0,37.3,34.2,37.4,34.0,36.7,33.2,30.0,32.5,34.0,34.98
75,gujarat,Banaskantha,SGWB,24.0,72.5,90.0,73.4,74.5,76.8,80.2,82.5,71.7,72.6,76.7,78.5,79.8
76,gujarat,Banaskantha,SGWB,24.05,72.41,50.0,56.1,53.2,54.2,52.3,55.85,52.7,50.2,52.0,52.0,53.2
77,gujarat,Banaskantha,SGWB,24.06,72.52,90.0,52.1,52.2,50.6,58.2,64.6,48.5,48.1,53.8,58.6,57.35
78,gujarat,Banaskantha,SGWB,24.14,72.61,120.0,25.5,23.3,23.3,21.9,25.6,21.8,22.0,20.3,22.0,23.5
79,gujarat,Gandhinagar,SGWB,23.17,72.95,150.0,38.25,40.7,41.2,42.0,44.9,37.25,39.25,40.6,41.3,41.8
80,gujarat,Gandhinagar,SGWB,23.1,72.63,60.0,40.2,41.4,43.1,44.6,44.7,39.7,40.9,41.6,41.6,41.7
81,gujarat,Gandhinagar,SGWB,23.2,72.65,110.0,52.25,52.2,51.7,50.1,48.9,51.0,51.3,49.4,47.6,47.15
82,gujarat,Gandhinagar,SGWB,23.14,72.66,60.0,36.85,37.8,39.1,36.8,40.7,35.2,37.4,36.0,36.0,42.1
83,gujarat,Gandhinagar,SGWB,23.1,72.62,74.0,25.1,25.6,25.6,28.4,30.8,24.7,24.5,23.6,27.3,26.3
84,gujarat,Gandhinagar,SGWB,23.33,72.51,42.0,118.2,117.95,117.5,118.6,118.8,117.4,117.0,117.0,113.2,116.65
85,gujarat,Gandhinagar,SGWB,23.33,72.51,48.0,144.8,150.6,152.7,157.3,158.3,138.5,136.0,143.5,149.9,138.5
86,gujarat,Gandhinagar,SGWB,23.38,72.68,76.0,79.05,78.65,79.2,79.8,79.25,78.3,78.4,78.7,77.4,77.1
87,gujarat,Gandhinagar,SGWB,23.48,72.74,90.0,72.05,71.95,72.65,72.5,72.8,71.95,71.8,71.0,71.7,71.45
88,gujarat,Gandhinagar,SGWB,23.48,72.74,60.0,142.1,141.45,143.15,144.2,144.85,140.7,138.2,135.2,137.3,135.05
89,gujarat,Kachchh,SGWB,23.31,70.18,60.0,55.85,55.95,55.73,55.63,56.18,54.28,54.18,54.4,54.53,55.13
90,gujarat,Kachchh,SGWB,23.24,69.68,150.0,29.9,29.95,30.264653072483803,29.15,29.68,28.63,28.78,29.18,29.83,31.03
91,gujarat,Kachchh,SGWB,23.26,69.55,240.0,25.75,25.8,26.371779595430475,24.75,24.83,24.33,24.43,25.63,25.83,26.98
