Sl. No.,State,District,Block,Village,TYPE,SOURCE,Site_Name,Latitude,Longitude,Well Depth,Aquifier,Level Depth Ratio,Pre_2015,Pst_2015,Pre_2016,Pst_2016,Pre_2017,Pst_2017,Pre_2018,Pst_2018,Pre_2019,Pst_2019,Final Count,Pre Diff 19 15,Pst Diff 19 15,Diff 2015,Diff 2016,Diff 2017,Diff 2018,Diff 2019,Avg Diff,Avg Pre,Avg Post ,Avg Level,Sign Diff 15,Sign Diff 16,Sign Diff 17,Sign Diff 18,Sign Diff 19,Sum Signed Diff
1185,Karnataka,Tumkur,Tumkur,Yellapura,Bore Well,SGWB,Yellapura,13.3784,77.113,210,,0.2823142857,39.3,30.1,30.3,52.16,79.13,71.15,58.28,63.17,105.22,64.05,10,65.92,33.95,-9.2,21.86,-7.98,4.89,-41.17,-6.32,62.45,56.13,59.29,-1,1,-1,1,-1,-1
1186,Madhya Pradesh,Chhatarpur,Chhatarpur,Chhatarpur,Dug wells,SGWB,Chhatarpur,24.90929028,79.59701389,14.25,Phreatic/Granite,0.7852631579,14,11.5,13.75,5.7,13.7,13.35,14.25,7.15,14.25,4.25,10,0.25,-7.25,-2.5,-8.05,-0.35,-7.1,-10,-5.60,13.99,8.39,11.19,-1,-1,-1,-1,-1,-5
1187,Madhya Pradesh,Chhatarpur,Chhatarpur,Gopalpura,Dug wells,SGWB,Gopalpura,24.92472222,79.69611111,9.25,Phreatic/Granite,0.8556756757,9.05,7.6,9.25,6.1,9.25,8.15,9.25,6.8,9.25,4.45,10,0.2,-3.15,-1.45,-3.15,-1.1,-2.45,-4.8,-2.59,9.21,6.62,7.92,-1,-1,-1,-1,-1,-5
1188,Madhya Pradesh,Chhatarpur,Chhatarpur,Issanagar,Dug wells,SGWB,Issanagar,24.86259444,79.3879025,9.73,Phreatic/Granite,0.7819116136,9.63,6.4,6.6,4.9,6.58,5.8,6.98,9.73,9.73,9.73,10,0.1,3.33,-3.23,-1.7,-0.78,2.75,0,-0.59,7.90,7.31,7.61,-1,-1,-1,1,0,-2
1189,Madhya Pradesh,Chhatarpur,Chhatarpur,Goraiya,Dug wells,SGWB,Goraiya,24.84699472,79.59082,12.3,Phreatic/Granite,0.7711382114,11,9.45,11.7,7.3,10.7,8.5,12.3,6.6,12.3,5,10,1.3,-4.45,-1.55,-4.4,-2.2,-5.7,-7.3,-4.23,11.60,7.37,9.49,-1,-1,-1,-1,-1,-5
1190,Madhya Pradesh,Chhatarpur,Chhatarpur,Matgown,Dug wells,SGWB,Matgown,24.80214278,79.4957525,7.4,Phreatic/Granite,0.9682432432,8.3,7.05,7.4,6.9,7.4,7.4,7.4,7.4,7.4,5,10,-0.9,-2.05,-1.25,-0.5,0,0,-2.4,-0.83,7.58,6.75,7.17,-1,-1,0,0,-1,-3
1191,Madhya Pradesh,Chhatarpur,Chhatarpur,Chouka,Dug wells,SGWB,Chouka,24.83255278,79.50194,7.75,Phreatic/Granite,0.6380645161,5.45,4.8,7.2,2.3,6,4.5,7.2,3,7.1,1.9,10,1.65,-2.9,-0.65,-4.9,-1.5,-4.2,-5.2,-3.29,6.59,3.30,4.95,-1,-1,-1,-1,-1,-5
1192,Madhya Pradesh,Chhatarpur,Chhatarpur,Kheron,Dug wells,SGWB,Kheron,24.79051972,79.45907528,13.4,Phreatic/Granite,0.6391791045,9.95,9.1,11.4,5.2,10.1,9.4,11.5,5.2,10.7,3.1,10,0.75,-6,-0.85,-6.2,-0.7,-6.3,-7.6,-4.33,10.73,6.40,8.57,-1,-1,-1,-1,-1,-5
1193,Madhya Pradesh,Chhatarpur,Chhatarpur,Piporakala,Dug wells,SGWB,Piporakala,24.85614444,79.48759722,12.6,Phreatic/Granite,0.6845238095,9.3,6.8,11.6,5.4,11.4,10.05,11.5,6.3,10.5,3.4,10,1.2,-3.4,-2.5,-6.2,-1.35,-5.2,-7.1,-4.47,10.86,6.39,8.63,-1,-1,-1,-1,-1,-5
1194,Madhya Pradesh,Chhatarpur,Chhatarpur,Panotha,Dug wells,SGWB,Panotha,24.88330194,79.47300556,15.2,Phreatic/Granite,0.6085526316,8.15,7.1,9.4,5.65,9.2,8.1,13.9,11.8,13.6,5.6,10,5.45,-1.5,-1.05,-3.75,-1.1,-2.1,-8,-3.20,10.85,7.65,9.25,-1,-1,-1,-1,-1,-5
1195,Madhya Pradesh,Chhatarpur,Chhatarpur,Ramgrah,Dug wells,SGWB,Ramgrah,24.83403861,79.60374028,7.5,Phreatic/Granite,0.9553333333,8.7,6,7.5,5.85,7.5,7.5,7.5,7.5,7.5,6.1,10,-1.2,0.1,-2.7,-1.65,0,0,-1.4,-1.15,7.74,6.59,7.17,-1,-1,0,0,-1,-3
1196,Madhya Pradesh,Chhatarpur,Chhatarpur,Hama,Dug wells,SGWB,Hama,24.96402361,79.60889167,13.8,Phreatic/Granite,0.7065217391,12.2,10.5,12.1,5.2,11.9,9.5,12.1,7.3,12,4.7,10,-0.2,-5.8,-1.7,-6.9,-2.4,-4.8,-7.3,-4.62,12.06,7.44,9.75,-1,-1,-1,-1,-1,-5
1197,Madhya Pradesh,Chhatarpur,Chhatarpur,Deri,Dug wells,SGWB,Deri,24.90783611,79.5199675,13.6,Phreatic/Granite,0.8823529412,12.8,11.9,13.6,6.5,13.6,12.3,13.6,12.5,13.6,9.6,10,0.8,-2.3,-0.9,-7.1,-1.3,-1.1,-4,-2.88,13.44,10.56,12.00,-1,-1,-1,-1,-1,-5
1198,Madhya Pradesh,Chhatarpur,Chhatarpur,Brijpura,Dug wells,SGWB,Brijpura,24.85268194,79.65837333,14.3,Phreatic/Granite,0.8748251748,13.7,12.1,14.3,8.2,14.3,14.1,14.3,12.9,14.3,6.9,10,0.6,-5.2,-1.6,-6.1,-0.2,-1.4,-7.4,-3.34,14.18,10.84,12.51,-1,-1,-1,-1,-1,-5
1199,Madhya Pradesh,Chhatarpur,Chhatarpur,Niwari,Dug wells,SGWB,Niwari,24.98758194,79.65640611,11,Phreatic/Alluvium,0.7431818182,11.4,5.8,11,4,11,9.1,11,5,11,2.45,10,-0.4,-3.35,-5.6,-7,-1.9,-6,-8.55,-5.81,11.08,5.27,8.18,-1,-1,-1,-1,-1,-5
1200,Madhya Pradesh,Chhatarpur,Chhatarpur,Chhatarpur,Piezometers,SGWB,Chhatarpur,24.90929028,79.59701389,30,Phreatic/Granite,0.4039583333,,,15.2,10.4,12.85,7.7,17.35,11.95,15.55,5.95,8,,,,-4.8,-5.15,-5.4,-9.6,-6.24,15.24,9.00,12.12,0,-1,-1,-1,-1,-4
1201,Madhya Pradesh,Chhatarpur,Nowgong,Harpalpur,Dug wells,SGWB,Harpalpur,25.23333333,79.26666667,13.95,Phreatic/Granite,0.9164874552,13.95,13.95,13.95,11.8,15.05,11.05,11.7,10.4,15,11,10,1.05,-2.95,0,-2.15,-4,-1.3,-4,-2.29,13.93,11.64,12.79,0,-1,-1,-1,-1,-4
1202,Madhya Pradesh,Chhatarpur,Nowgong,Alipura,Dug wells,SGWB,Alipura,25.17432722,79.33918861,9.9,Phreatic/Granite,0.8944444444,9.5,8.5,9.9,6.5,9.9,8.8,9.9,9.8,9.9,5.85,10,0.4,-2.65,-1,-3.4,-1.1,-0.1,-4.05,-1.93,9.82,7.89,8.86,-1,-1,-1,-1,-1,-5
1203,Madhya Pradesh,Chhatarpur,Nowgong,Luggasi,Dug wells,SGWB,Luggasi,25.06726944,79.56463694,11.8,Phreatic/Granite,0.9461864407,11.8,11.7,11.8,8,11.8,11.8,11.8,11.8,11.8,9.35,10,0,-2.35,-0.1,-3.8,0,0,-2.45,-1.27,11.80,10.53,11.17,-1,-1,0,0,-1,-3
1204,Madhya Pradesh,Chhatarpur,Nowgong,Nowgong,Dug wells,SGWB,Nowgong,25.0472375,79.44561306,11.9,Phreatic/Granite,0.8544537815,10.58,9.2,11.9,8.1,11.9,11.9,11.9,11,11.5,3.7,10,0.92,-5.5,-1.38,-3.8,0,-0.9,-7.8,-2.78,11.56,8.78,10.17,-1,-1,0,-1,-1,-4
1205,Madhya Pradesh,Chhatarpur,Nowgong,Maharajpur,Dug wells,SGWB,Maharajpur,24.99441528,79.72099639,18.6,Phreatic/Granite,0.5521505376,11.05,10.3,13.85,8.15,12.85,6.1,13.2,8.2,15.1,3.9,10,4.05,-6.4,-0.75,-5.7,-6.75,-5,-11.2,-5.88,13.21,7.33,10.27,-1,-1,-1,-1,-1,-5
1206,Madhya Pradesh,Chhatarpur,Nowgong,Tatam,Dug wells,SGWB,Tatam,25.04166667,79.85888889,17,Phreatic/Granite,0.6532352941,12.7,11.35,14.1,7.6,12.7,11.2,15.9,6.6,13.5,5.4,10,0.8,-5.95,-1.35,-6.5,-1.5,-9.3,-8.1,-5.35,13.78,8.43,11.11,-1,-1,-1,-1,-1,-5
1207,Madhya Pradesh,Chhatarpur,Nowgong,Mausaniya,Dug wells,SGWB,Mausaniya,25.0179775,79.48086361,11.5,Phreatic/Granite,0.8526086957,10.1,8.5,11.5,8.15,10.6,9.7,11.5,11.5,11.5,5,10,1.4,-3.5,-1.6,-3.35,-0.9,0,-6.5,-2.47,11.04,8.57,9.81,-1,-1,-1,0,-1,-4
1208,Madhya Pradesh,Chhatarpur,Nowgong,Dumra,Dug wells,SGWB,Dumra,25.05171417,79.91387333,9.9,Phreatic/Granite,0.6631313131,6.6,6.3,9.4,5.45,8.2,4.5,9.8,4.7,8.3,2.4,10,1.7,-3.9,-0.3,-3.95,-3.7,-5.1,-5.9,-3.79,8.46,4.67,6.57,-1,-1,-1,-1,-1,-5
1209,Madhya Pradesh,Chhatarpur,Nowgong,Singhpur,Dug wells,SGWB,Singhpur,25.09361111,79.9025,10.9,Phreatic/Granite,0.6986238532,8.7,6.85,9.1,5.8,9,8,9.1,6.8,9.2,3.6,10,0.5,-3.25,-1.85,-3.3,-1,-2.3,-5.6,-2.81,9.02,6.21,7.62,-1,-1,-1,-1,-1,-5
1210,Madhya Pradesh,Chhatarpur,Nowgong,Garroli,Dug wells,SGWB,Garroli,25.07444444,79.45944444,9.3,Phreatic/Granite,0.7516129032,8.25,7.95,8.5,4.25,8.4,7.4,8.55,5.9,8.6,2.1,10,0.35,-5.85,-0.3,-4.25,-1,-2.65,-6.5,-2.94,8.46,5.52,6.99,-1,-1,-1,-1,-1,-5
1211,Madhya Pradesh,Chhatarpur,Nowgong,Neguwan,Dug wells,SGWB,Neguwan,25.29856083,79.29598389,15.25,Phreatic/Granite,0.8583606557,15.25,9.15,15.25,5.75,15.25,15.25,15.25,15.25,15.25,9.25,10,0,0.1,-6.1,-9.5,0,0,-6,-4.32,15.25,10.93,13.09,-1,-1,0,0,-1,-3
1212,Madhya Pradesh,Chhatarpur,Nowgong,Sarsed,Dug wells,SGWB,Sarsed,25.1,79.40277778,9.5,Phreatic/Granite,0.8631578947,8.85,7.3,9.5,6.5,9.5,8.2,9.5,7.4,9.5,5.75,10,0.65,-1.55,-1.55,-3,-1.3,-2.1,-3.75,-2.34,9.37,7.03,8.20,-1,-1,-1,-1,-1,-5
1213,Madhya Pradesh,Chhatarpur,Nowgong,Doriya,Dug wells,SGWB,Doriya,25.11587778,79.56843389,7.2,Phreatic/Granite,0.9743055556,9.6,9.6,9.6,4.65,7.2,7.2,7.2,6.4,7.2,1.5,10,-2.4,-8.1,0,-4.95,0,-0.8,-5.7,-2.29,8.16,5.87,7.02,0,-1,0,-1,-1,-3
1214,Madhya Pradesh,Chhatarpur,Nowgong,Jhijhan,Dug wells,SGWB,Jhijhan,25.05086528,79.69691583,14.5,Phreatic/Granite,0.8234482759,11.5,9.2,14.5,7.2,14.5,12.2,14.5,11.8,14.5,9.5,10,3,0.3,-2.3,-7.3,-2.3,-2.7,-5,-3.92,13.90,9.98,11.94,-1,-1,-1,-1,-1,-5
1215,Madhya Pradesh,Chhatarpur,Nowgong,Gadi Malehra,Dug wells,SGWB,Gadi Malehra,25.09775722,79.678535,12.3,Phreatic/Granite,0.8146341463,12.1,10.3,10.4,7,11,10.3,12.3,8,12.3,6.5,10,0.2,-3.8,-1.8,-3.4,-0.7,-4.3,-5.8,-3.20,11.62,8.42,10.02,-1,-1,-1,-1,-1,-5
1216,Madhya Pradesh,Chhatarpur,Nowgong,Kurraha,Dug wells,SGWB,Kurraha,25.18373944,80.28680556,14.8,Phreatic/Granite,0.839527027,11.15,9.3,14.2,6.8,14.3,14,14.7,13.6,14.8,11.4,10,3.65,2.1,-1.85,-7.4,-0.3,-1.1,-3.4,-2.81,13.83,11.02,12.43,-1,-1,-1,-1,-1,-5
1217,Madhya Pradesh,Chhatarpur,Nowgong,Mankari,Dug wells,SGWB,Mankari,25.02591833,79.7919725,8.5,Phreatic/Granite,0.8670588235,8.75,7.6,8.5,5.15,7.9,6.5,8.5,7.3,8.5,5,10,-0.25,-2.6,-1.15,-3.35,-1.4,-1.2,-3.5,-2.12,8.43,6.31,7.37,-1,-1,-1,-1,-1,-5
1218,Madhya Pradesh,Chhatarpur,Nowgong,Harpalpur,Piezometers,SGWB,Harpalpur,25.28361111,79.33472222,40.2,Phreatic/Granite,0.3751243781,15.25,14.35,16.8,7.75,16.95,15.8,16.85,15.45,16.8,14.8,10,1.55,0.45,-0.9,-9.05,-1.15,-1.4,-2,-2.90,16.53,13.63,15.08,-1,-1,-1,-1,-1,-5
1219,Madhya Pradesh,Chhatarpur,Nowgong,Gadi Malehra,Piezometers,SGWB,Gadi Malehra,25.05086528,79.69691583,47.8,Phreatic/Granite,0.2080125523,10.73,8.6,12.3,6.9,11.6,9.5,13.4,7,14.5,4.9,10,3.77,-3.7,-2.13,-5.4,-2.1,-6.4,-9.6,-5.13,12.51,7.38,9.94,-1,-1,-1,-1,-1,-5
1220,Madhya Pradesh,Chhatarpur,Rajnagar,Rajnagar,Dug wells,SGWB,Rajnagar,24.88411972,79.91147417,11.85,Phreatic/Granite,0.4016877637,6.2,3.85,6.95,2,4.8,3.3,6.5,3.8,7.1,3.1,10,0.9,-0.75,-2.35,-4.95,-1.5,-2.7,-4,-3.10,6.31,3.21,4.76,-1,-1,-1,-1,-1,-5
1221,Madhya Pradesh,Chhatarpur,Rajnagar,Khajuraho,Dug wells,SGWB,Khajuraho,24.84656,79.94175972,20.6,Phreatic/Granite,0.229368932,5.25,4.65,6.95,2.6,5,3.7,6,4.3,5.5,3.3,10,0.25,-1.35,-0.6,-4.35,-1.3,-1.7,-2.2,-2.03,5.74,3.71,4.73,-1,-1,-1,-1,-1,-5
1222,Madhya Pradesh,Chhatarpur,Rajnagar,Basari,Dug wells,SGWB,Basari,24.82028194,79.71456778,11.8,Phreatic/Granite,0.7780508475,10.88,8.78,10.75,6.65,10.1,7.75,10.35,9.45,10.75,6.35,10,-0.13,-2.43,-2.1,-4.1,-2.35,-0.9,-4.4,-2.77,10.57,7.80,9.18,-1,-1,-1,-1,-1,-5
1223,Madhya Pradesh,Chhatarpur,Rajnagar,Bamitha,Dug wells,SGWB,Bamitha,24.78119889,79.88065,12,Phreatic/Granite,0.5416666667,9.25,6.45,9.85,1.4,9,5.7,9.6,2.8,9.85,1.1,10,0.6,-5.35,-2.8,-8.45,-3.3,-6.8,-8.75,-6.02,9.51,3.49,6.50,-1,-1,-1,-1,-1,-5
1224,Madhya Pradesh,Chhatarpur,Rajnagar,Toriya,Dug wells,SGWB,Toriya,24.74066139,79.99477694,9.4,Phreatic/Granite,0.4781914894,5.8,4.45,6.45,2.1,6,4.45,6.4,2.7,5.2,1.4,10,-0.6,-3.05,-1.35,-4.35,-1.55,-3.7,-3.8,-2.95,5.97,3.02,4.50,-1,-1,-1,-1,-1,-5
1225,Madhya Pradesh,Chhatarpur,Rajnagar,Rangawa,Dug wells,SGWB,Rangawa,24.79458778,79.41934917,11.66,Phreatic/Granite,0.3180102916,5.64,3.01,4.3,2.89,3.4,2.85,6.2,2.89,3.1,2.8,10,-2.54,-0.21,-2.63,-1.41,-0.55,-3.31,-0.3,-1.64,4.53,2.89,3.71,-1,-1,-1,-1,-1,-5
1226,Madhya Pradesh,Chhatarpur,Rajnagar,Ganj,Dug wells,SGWB,Ganj,24.79426944,79.77900417,14.55,Phreatic/Granite,0.5823367698,10.75,7.63,10.65,4.95,11,9.15,10.75,5.95,10.35,3.55,10,-0.4,-4.08,-3.12,-5.7,-1.85,-4.8,-6.8,-4.45,10.70,6.25,8.47,-1,-1,-1,-1,-1,-5
1227,Madhya Pradesh,Chhatarpur,Rajnagar,Nayagaon,Dug wells,SGWB,Nayagaon,24.81346056,79.83301556,15.7,Phreatic/Granite,0.6998089172,10.55,8.42,13.9,9.1,13.9,11.2,12.5,11.8,14,4.5,10,3.45,-3.92,-2.13,-4.8,-2.7,-0.7,-9.5,-3.97,12.97,9.00,10.99,-1,-1,-1,-1,-1,-5
1228,Madhya Pradesh,Chhatarpur,Rajnagar,Khairy,Dug wells,SGWB,Khairy,24.77160972,79.82626972,13.75,Phreatic/Granite,0.688,10.7,10.1,13.15,4.3,11,9.7,13.15,6.9,12.45,3.15,10,1.75,-6.95,-0.6,-8.85,-1.3,-6.25,-9.3,-5.26,12.09,6.83,9.46,-1,-1,-1,-1,-1,-5
1229,Madhya Pradesh,Chhatarpur,Rajnagar,Chand Nagar,Dug wells,SGWB,Chand Nagar,24.74584611,79.94843222,13.4,Phreatic/Granite,0.4867910448,8.85,5.78,9.5,4.9,11.8,4.4,8.4,4.1,4.5,3,10,-4.35,-2.78,-3.07,-4.6,-7.4,-4.3,-1.5,-4.17,8.61,4.44,6.52,-1,-1,-1,-1,-1,-5
1230,Madhya Pradesh,Chhatarpur,Rajnagar,Bhiyatal,Dug wells,SGWB,Bhiyatal,24.77927056,79.96327,8.1,Phreatic/Granite,0.6104938272,7.55,5.73,5.77,3.25,5.5,4.55,5.65,3.85,5.75,1.85,10,-1.8,-3.88,-1.82,-2.52,-0.95,-1.8,-3.9,-2.20,6.04,3.85,4.95,-1,-1,-1,-1,-1,-5
1231,Madhya Pradesh,Chhatarpur,Rajnagar,Pira,Dug wells,SGWB,Pira,24.77316556,79.90999583,11.75,Phreatic/Granite,0.325787234,4.53,2.75,5.85,1.05,4.65,2,5,4.85,5.75,1.85,10,1.22,-0.9,-1.78,-4.8,-2.65,-0.15,-3.9,-2.66,5.16,2.50,3.83,-1,-1,-1,-1,-1,-5
1232,Madhya Pradesh,Chhatarpur,Rajnagar,Tikuri,Dug wells,SGWB,Tikuri,24.79994806,79.92986417,6.45,Phreatic/Granite,0.8186046512,6.85,6.75,6.45,3.5,6.45,4,6.45,3.2,6.45,2.7,10,-0.4,-4.05,-0.1,-2.95,-2.45,-3.25,-3.75,-2.50,6.53,4.03,5.28,-1,-1,-1,-1,-1,-5
1233,Madhya Pradesh,Chhatarpur,Rajnagar,Khajuwa,Dug wells,SGWB,Khajuwa,24.92722028,79.92187083,13.55,Phreatic/Granite,0.5169741697,8.9,6.7,9.4,4.05,6.2,5.7,9.6,6.3,9.6,3.6,10,0.7,-3.1,-2.2,-5.35,-0.5,-3.3,-6,-3.47,8.74,5.27,7.01,-1,-1,-1,-1,-1,-5
1234,Madhya Pradesh,Chhatarpur,Rajnagar,Daharra,Dug wells,SGWB,Daharra,24.97268472,79.90895611,11.5,Phreatic/Granite,0.6408695652,8.4,6.15,9.75,4.25,8.8,4.3,9.55,7.8,8.7,6,10,0.3,-0.15,-2.25,-5.5,-4.5,-1.75,-2.7,-3.34,9.04,5.70,7.37,-1,-1,-1,-1,-1,-5
1235,Madhya Pradesh,Chhatarpur,Rajnagar,Maniya,Dug wells,SGWB,Maniya,25.01873861,79.89908806,12.7,Phreatic/Granite,0.7208661417,11.7,8.9,11.45,2.75,11.1,9.7,11.45,6.6,11.1,6.8,10,-0.6,-2.1,-2.8,-8.7,-1.4,-4.85,-4.3,-4.41,11.36,6.95,9.16,-1,-1,-1,-1,-1,-5
1236,Madhya Pradesh,Chhatarpur,Rajnagar,Khajuraho,Piezometers,SGWB,Khajuraho,24.84656,79.94175972,30,Phreatic/Granite,0.1145,3.7,3.15,6.75,2.5,3.9,1.95,4.5,2.5,3.9,1.5,10,0.2,-1.65,-0.55,-4.25,-1.95,-2,-2.4,-2.23,4.55,2.32,3.44,-1,-1,-1,-1,-1,-5
1237,Madhya Pradesh,Damoh,Patharia,Keolari,Dug wells,SGWB,Keolari,23.95024333,79.11259306,9.95,Phreatic/Limestone,0.6304522613,6.85,5.83,7,4.96,7.55,7.17,7.75,4.97,7.4,3.25,10,0.55,-2.58,-1.02,-2.04,-0.38,-2.78,-4.15,-2.07,7.31,5.24,6.27,-1,-1,-1,-1,-1,-5
1238,Madhya Pradesh,Damoh,Patharia,Patharia,Dug wells,SGWB,Patharia,23.89419417,79.19992639,11.5,Phreatic/Sandstone,0.5147826087,7.9,7.32,8.19,2.82,8.5,3.43,7.75,3.97,7.02,2.3,10,-0.88,-5.02,-0.58,-5.37,-5.07,-3.78,-4.72,-3.90,7.87,3.97,5.92,-1,-1,-1,-1,-1,-5
1239,Madhya Pradesh,Damoh,Patharia,Bilani,Dug wells,SGWB,Bilani,23.95923361,79.25701833,7.7,Phreatic/Sandstone,0.9902597403,7.7,7.7,7.7,6.95,7.7,7.7,7.7,7.7,7.7,7.7,10,0,0,0,-0.75,0,0,0,-0.15,7.70,7.55,7.63,0,-1,0,0,0,-1
1240,Madhya Pradesh,Damoh,Patharia,Jerat,Dug wells,SGWB,Jerat,23.99960361,79.30336917,8.17,Phreatic/Sandstone,0.8796817625,7.5,7.34,8.17,5.02,6.9,6.5,8.17,7.2,8.17,6.9,10,0.67,-0.44,-0.16,-3.15,-0.4,-0.97,-1.27,-1.19,7.78,6.59,7.19,-1,-1,-1,-1,-1,-5
1241,Madhya Pradesh,Damoh,Patharia,Aslana,Dug wells,SGWB,Aslana,23.9270725,79.32152389,12.5,Phreatic/Limestone,0.70408,9.5,6.9,10.54,2.35,12.13,10.05,11.97,9.73,12.27,2.57,10,2.77,-4.33,-2.6,-8.19,-2.08,-2.24,-9.7,-4.96,11.28,6.32,8.80,-1,-1,-1,-1,-1,-5
1242,Madhya Pradesh,Damoh,Patharia,Luharra,Dug wells,SGWB,Luharra,23.88421111,79.53418611,11.2,Phreatic/Sandstone,0.6827678571,11.2,6.95,11.2,2.06,11.2,4.16,11.2,3.8,11.2,3.5,10,0,-3.45,-4.25,-9.14,-7.04,-7.4,-7.7,-7.11,11.20,4.09,7.65,-1,-1,-1,-1,-1,-5
1243,Madhya Pradesh,Damoh,Patharia,Khejara,Dug wells,SGWB,Khejara,23.99464389,79.44682278,8.5,Phreatic/Sandstone,0.8623529412,7.8,7.1,8.5,1.2,8.5,8.1,8.5,8.4,8.5,6.7,10,0.7,-0.4,-0.7,-7.3,-0.4,-0.1,-1.8,-2.06,8.36,6.30,7.33,-1,-1,-1,-1,-1,-5
1244,Madhya Pradesh,Damoh,Patharia,Piparia Champat,Dug wells,SGWB,Piparia Champat,23.9620525,79.39274139,10.65,Phreatic/Shale,0.4769953052,6.8,3.3,10.2,3,9.15,3.2,5.95,2.55,4.55,2.1,10,-2.25,-1.2,-3.5,-7.2,-5.95,-3.4,-2.45,-4.50,7.33,2.83,5.08,-1,-1,-1,-1,-1,-5
1245,Madhya Pradesh,Damoh,Patharia,Satpara,Dug wells,SGWB,Satpara,23.97635111,79.17987833,14.1,Phreatic/Sandstone,0.7443262411,13.2,11.67,13,6.36,12.33,10.12,13.15,6.22,12.3,6.6,10,-0.9,-5.07,-1.53,-6.64,-2.21,-6.93,-5.7,-4.60,12.80,8.19,10.50,-1,-1,-1,-1,-1,-5
1246,Madhya Pradesh,Damoh,Patharia,Banskalan,Dug wells,SGWB,Banskalan,23.86733056,79.19412806,15.5,Phreatic/Shale,0.4770967742,12,11.61,12.65,3.57,6.5,3.32,9.16,2.78,10.06,2.3,10,-1.94,-9.31,-0.39,-9.08,-3.18,-6.38,-7.76,-5.36,10.07,4.72,7.40,-1,-1,-1,-1,-1,-5
1247,Madhya Pradesh,Damoh,Patharia,Pura,Dug wells,SGWB,Pura,23.89781833,79.37668583,9.25,Phreatic/Shale,0.7623783784,9.25,8.7,9.25,4.25,9.25,5.75,9.25,4.67,6.1,4.05,10,-3.15,-4.65,-0.55,-5,-3.5,-4.58,-2.05,-3.14,8.62,5.48,7.05,-1,-1,-1,-1,-1,-5
1248,Madhya Pradesh,Damoh,Patharia,Parsoriya,Dug wells,SGWB,Parsoriya,23.76707694,79.26036111,7.96,Phreatic/Shale,0.6484924623,4.9,4.9,4.9,1.65,7.96,3.67,7.96,4.07,7.96,3.65,10,3.06,-1.25,0,-3.25,-4.29,-3.89,-4.31,-3.15,6.74,3.59,5.16,0,-1,-1,-1,-1,-4
1249,Madhya Pradesh,Damoh,Patharia,Devron,Dug wells,SGWB,Devron,23.7991075,79.32246722,10,Phreatic/Shale,0.8704,9.55,8.69,10,6.39,10,7.55,10,8.81,10,6.05,10,0.45,-2.64,-0.86,-3.61,-2.45,-1.19,-3.95,-2.41,9.91,7.50,8.70,-1,-1,-1,-1,-1,-5
1250,Madhya Pradesh,Panna,Ajaygarh,Harseni,Dug wells,SGWB,Harseni,24.97562139,80.27625833,14.8,Phreatic/Granite,0.7168918919,9.93,12.55,12.55,8.35,11.3,10.85,12.59,9.93,13.2,4.85,10,3.27,-7.7,2.62,-4.2,-0.45,-2.66,-8.35,-2.61,11.91,9.31,10.61,1,-1,-1,-1,-1,-3
1251,Madhya Pradesh,Panna,Ajaygarh,Nayagaon,Dug wells,SGWB,Nayagaon,24.96056972,80.38288278,10.6,Phreatic/Granite,0.75,8.77,7.3,10.1,5,9.65,7.48,9.98,7.2,10.6,3.42,10,1.83,-3.88,-1.47,-5.1,-2.17,-2.78,-7.18,-3.74,9.82,6.08,7.95,-1,-1,-1,-1,-1,-5
1252,Madhya Pradesh,Panna,Ajaygarh,Singhpur,Dug wells,SGWB,Singhpur,24.88141333,80.2950725,13.75,Phreatic/Granite,0.6027636364,9.1,8.07,13.15,3.85,9.04,7.4,10.9,6.75,10.37,4.25,10,1.27,-3.82,-1.03,-9.3,-1.64,-4.15,-6.12,-4.45,10.51,6.06,8.29,-1,-1,-1,-1,-1,-5
1253,Madhya Pradesh,Panna,Ajaygarh,Dharampur,Dug wells,SGWB,Dharampur,24.97257722,80.43197972,16.5,Phreatic/Granite,0.688,10.85,10.7,13.2,9.85,10.65,9.87,12.8,12.15,15.2,8.25,10,4.35,-2.45,-0.15,-3.35,-0.78,-0.65,-6.95,-2.38,12.54,10.16,11.35,-1,-1,-1,-1,-1,-5
1254,Madhya Pradesh,Panna,Ajaygarh,Ajaygarh,Dug wells,SGWB,Ajaygarh,24.89998861,80.24532278,12.5,Phreatic/Granite,0.56488,7.4,7,10.4,3.85,7.98,5.93,10.4,4.9,10.05,2.7,10,2.65,-4.3,-0.4,-6.55,-2.05,-5.5,-7.35,-4.37,9.25,4.88,7.06,-1,-1,-1,-1,-1,-5
1255,Madhya Pradesh,Panna,Ajaygarh,Madhoganj,Dug wells,SGWB,Madhoganj,24.91114972,80.26605194,14.2,Phreatic/Granite,0.5605633803,8.9,7.17,11.7,5.02,8.05,7.35,10.61,6.4,9.55,4.85,10,0.65,-2.32,-1.73,-6.68,-0.7,-4.21,-4.7,-3.60,9.76,6.16,7.96,-1,-1,-1,-1,-1,-5
1256,Madhya Pradesh,Panna,Ajaygarh,Hardi,Dug wells,SGWB,Hardi,24.93004028,80.35458139,21.8,Phreatic/Granite,0.7985321101,17.63,17.4,18.1,17.1,17.45,17.15,18.15,16.6,18.1,16.4,10,0.47,-1,-0.23,-1,-0.3,-1.55,-1.7,-0.96,17.89,16.93,17.41,-1,-1,-1,-1,-1,-5
