Sl. No.,State,District,Block,Village,TYPE,SOURCE,Site_Name,Latitude,Longitude,Well Depth,Aquifier,Level Depth Ratio,Pre_2015,Pst_2015,Pre_2016,Pst_2016,Pre_2017,Pst_2017,Pre_2018,Pst_2018,Pre_2019,Pst_2019,Final Count,Pre Diff 19 15,Pst Diff 19 15,Diff 2015,Diff 2016,Diff 2017,Diff 2018,Diff 2019,Avg Diff,Avg Pre,Avg Post ,Avg Level,Sign Diff 15,Sign Diff 16,Sign Diff 17,Sign Diff 18,Sign Diff 19,Sum Signed Diff
68,Gujarat,Banaskantha,Dhanera,Ramuna,,SGWB,,24.55,71.94,300,Unconfined,0.21825,62.5,60.3,63.9,60,65.1,64.5,65.2,67.7,73.4,72.15,10,10.9,11.85,-2.2,-3.9,-0.6,2.5,-1.25,-1.09,66.02,64.93,65.48,-1,-1,-1,1,-1,-3
69,Gujarat,Banaskantha,Palanpur,Dhandha,,SGWB,,24.18,72.56,148,Unconfined,0.1385472973,23.9,17.6,20.7,20,24.9,15.5,19.7,19.8,23.95,19,10,0.05,1.4,-6.3,-0.7,-9.4,0.1,-4.95,-4.25,22.63,18.38,20.51,-1,-1,-1,1,-1,-3
70,Gujarat,Banaskantha,Palanpur,Sedrasana,,SGWB,,24.1,72.43,150,Unconfined,0.4457666667,69.8,68.2,70.8,69.2,71.6,63.8,64.5,61.75,66.6,62.4,10,-3.2,-5.8,-1.6,-1.6,-7.8,-2.75,-4.2,-3.59,68.66,65.07,66.87,-1,-1,-1,-1,-1,-5
71,Gujarat,Banaskantha,Palanpur,Vagda,,SGWB,,24.13,72.46,90,Unconfined,0.4545,40.4,42.2,45.5,44.25,48.6,33.5,32.2,33.95,47.25,41.2,10,6.85,-1,1.8,-1.25,-15.1,1.75,-6.05,-3.77,42.79,39.02,40.91,1,-1,-1,1,-1,-1
72,Gujarat,Banaskantha,Tharad,Bhuriya,,SGWB,,24.51,71.73,57,Unconfined,0.5949122807,33.3,31.6,34.7,34.4,36.1,31.7,32.9,32.9,36.7,34.8,10,3.4,3.2,-1.7,-0.3,-4.4,0,-1.9,-1.66,34.74,33.08,33.91,-1,-1,-1,0,-1,-4
73,Gujarat,Banaskantha,Tharad,Pavadasan,,SGWB,,24.49,71.92,120,Confined,0.7918333333,93.1,91,92.7,91,94.2,89,101,99.7,101.3,97.2,10,8.2,6.2,-2.1,-1.7,-5.2,-1.3,-4.1,-2.88,96.46,93.58,95.02,-1,-1,-1,-1,-1,-5
74,Gujarat,Banaskantha,Tharad,Rah-1,,SGWB,,24.49,71.82,90,Confined,0.6831111111,57.4,57.4,58.3,56.6,62.4,60.5,63.5,63.4,69.3,66,10,11.9,8.6,0,-1.7,-1.9,-0.1,-3.3,-1.40,62.18,60.78,61.48,0,-1,-1,-1,-1,-4
75,Gujarat,Banaskantha,Tharad,Rah-2,,SGWB,,24.5,71.81,57,Unconfined,0.604,37.3,33.2,34.2,30,37.4,32.5,34,34,36.7,34.98,10,-0.6,1.78,-4.1,-4.2,-4.9,0,-1.72,-2.98,35.92,32.94,34.43,-1,-1,-1,0,-1,-4
76,Gujarat,Banaskantha,Vadgam,Gidasan Moti,,SGWB,,24,72.5,90,Confined,0.8518888889,73.4,71.7,74.5,72.6,76.8,76.7,80.2,78.5,82.5,79.8,10,9.1,8.1,-1.7,-1.9,-0.1,-1.7,-2.7,-1.62,77.48,75.86,76.67,-1,-1,-1,-1,-1,-5
77,Gujarat,Banaskantha,Vadgam,Majadar,,SGWB,,24.05,72.41,50,Unconfined,1.0635,56.1,52.7,53.2,50.2,54.2,52,52.3,52,55.85,53.2,10,-0.25,0.5,-3.4,-3,-2.2,-0.3,-2.65,-2.31,54.33,52.02,53.18,-1,-1,-1,-1,-1,-5
78,Gujarat,Banaskantha,Vadgam,Memadpur,,SGWB,,24.06,72.52,90,Unconfined,0.6045,52.1,48.5,52.2,48.1,50.6,53.8,58.2,58.6,64.6,57.35,10,12.5,8.85,-3.6,-4.1,3.2,0.4,-7.25,-2.27,55.54,53.27,54.41,-1,-1,1,1,-1,-1
79,Gujarat,Banaskantha,Vadgam,Thuvar,,SGWB,,24.14,72.61,120,Unconfined,0.191,25.5,21.8,23.3,22,23.3,20.3,21.9,22,25.6,23.5,10,0.1,1.7,-3.7,-1.3,-3,0.1,-2.1,-2.00,23.92,21.92,22.92,-1,-1,-1,1,-1,-3
80,Gujarat,Gandhinagar,Dehgam,Kadjodra,,SGWB,,23.17,72.95,150,Unconfined,0.2715,38.25,37.25,40.7,39.25,41.2,40.6,42,41.3,44.9,41.8,10,6.65,4.55,-1,-1.45,-0.6,-0.7,-3.1,-1.37,41.41,40.04,40.73,-1,-1,-1,-1,-1,-5
81,Gujarat,Gandhinagar,Gandhinagar,Bhat-Ii,,SGWB,,23.1,72.63,60,Unconfined,0.6991666667,40.2,39.7,41.4,40.9,43.1,41.6,44.6,41.6,44.7,41.7,10,4.5,2,-0.5,-0.5,-1.5,-3,-3,-1.70,42.80,41.10,41.95,-1,-1,-1,-1,-1,-5
82,Gujarat,Gandhinagar,Gandhinagar,Gandhinagar-Ii,,SGWB,,23.2,72.65,110,Unconfined,0.456,52.25,51,52.2,51.3,51.7,49.4,50.1,47.6,48.9,47.15,10,-3.35,-3.85,-1.25,-0.9,-2.3,-2.5,-1.75,-1.74,51.03,49.29,50.16,-1,-1,-1,-1,-1,-5
83,Gujarat,Gandhinagar,Gandhinagar,Karai,,SGWB,,23.14,72.66,60,Unconfined,0.6299166667,36.85,35.2,37.8,37.4,39.1,36,36.8,36,40.7,42.1,10,3.85,6.9,-1.65,-0.4,-3.1,-0.8,1.4,-0.91,38.25,37.34,37.80,-1,-1,-1,-1,1,-3
84,Gujarat,Gandhinagar,Gandhinagar,Koteshwar,,SGWB,,23.1,72.62,74,Unconfined,0.3539189189,25.1,24.7,25.6,24.5,25.6,23.6,28.4,27.3,30.8,26.3,10,5.7,1.6,-0.4,-1.1,-2,-1.1,-4.5,-1.82,27.10,25.28,26.19,-1,-1,-1,-1,-1,-5
85,Gujarat,Gandhinagar,Kalol,Dingucha-I,,SGWB,,23.33,72.51,42,Confined,2.791190476,118.2,117.4,117.95,117,117.5,117,118.6,113.2,118.8,116.65,10,0.6,-0.75,-0.8,-0.95,-0.5,-5.4,-2.15,-1.96,118.21,116.25,117.23,-1,-1,-1,-1,-1,-5
86,Gujarat,Gandhinagar,Kalol,Dingucha-Ii,,SGWB,,23.33,72.51,48,Confined,3.062708333,144.8,138.5,150.6,136,152.7,143.5,157.3,149.9,158.3,138.5,10,13.5,0,-6.3,-14.6,-9.2,-7.4,-19.8,-11.46,152.74,141.28,147.01,-1,-1,-1,-1,-1,-5
87,Gujarat,Gandhinagar,Kalol,Limbodara,,SGWB,,23.38,72.68,76,Confined,1.034013158,79.05,78.3,78.65,78.4,79.2,78.7,79.8,77.4,79.25,77.1,10,0.2,-1.2,-0.75,-0.25,-0.5,-2.4,-2.15,-1.21,79.19,77.98,78.59,-1,-1,-1,-1,-1,-5
88,Gujarat,Gandhinagar,Mansa,Pundhara-I,,SGWB,,23.48,72.74,90,Unconfined,0.7998333333,72.05,71.95,71.95,71.8,72.65,71,72.5,71.7,72.8,71.45,10,0.75,-0.5,-0.1,-0.15,-1.65,-0.8,-1.35,-0.81,72.39,71.58,71.99,-1,-1,-1,-1,-1,-5
89,Gujarat,Gandhinagar,Mansa,Pundhara-Ii,,SGWB,,23.48,72.74,60,Confined,2.337,142.1,140.7,141.45,138.2,143.15,135.2,144.2,137.3,144.85,135.05,10,2.75,-5.65,-1.4,-3.25,-7.95,-6.9,-9.8,-5.86,143.15,137.29,140.22,-1,-1,-1,-1,-1,-5
90,Gujarat,Kachchh,Anjar,Dhamadka,,SGWB,,23.31,70.18,60,Unconfined,0.9197666667,55.85,54.28,55.95,54.18,55.73,54.4,55.63,54.53,56.18,55.13,10,0.33,0.85,-1.57,-1.77,-1.33,-1.1,-1.05,-1.36,55.87,54.50,55.19,-1,-1,-1,-1,-1,-5
91,Gujarat,Kachchh,Bhuj,Bhuj,,SGWB,,23.24,69.68,150,Unconfined,0.1971333333,29.9,28.63,29.95,28.78,,29.18,29.15,29.83,29.68,31.03,9,-0.22,2.4,-1.27,-1.17,,0.68,1.35,-0.10,29.67,29.49,29.57,-1,-1,0,1,1,0
92,Gujarat,Kachchh,Bhuj,Kodki,,SGWB,,23.26,69.55,240,Unconfined,0.1057083333,25.75,24.33,25.8,24.43,,25.63,24.75,25.83,24.83,26.98,9,-0.92,2.65,-1.42,-1.37,,1.08,2.15,0.11,25.28,25.44,25.37,-1,-1,0,1,1,0
93,Gujarat,Kachchh,Bhuj,Nadapa,,SGWB,,23.32,69.9,140,Unconfined,0.3467301587,48.75,47.43,48.95,47.58,,48.88,47.8,49.08,47.83,50.58,9,-0.92,3.15,-1.32,-1.37,,1.28,2.75,0.33,48.33,48.71,48.54,-1,-1,0,1,1,0
94,Gujarat,Kachchh,Bhuj,Samatra,,SGWB,,23.24,69.51,100,Unconfined,0.3762,38.05,36.68,38.25,36.88,,37.33,37.15,37.73,37.23,39.28,9,-0.82,2.6,-1.37,-1.37,,0.58,2.05,-0.03,37.67,37.58,37.62,-1,-1,0,1,1,0
95,Gujarat,Kachchh,Bhuj,Vadva,,SGWB,,23.16,69.79,180,Unconfined,0.08782716049,16.05,14.83,16.1,14.88,,16.03,15.45,16.28,15.68,16.98,9,-0.37,2.15,-1.22,-1.22,,0.83,1.3,-0.08,15.82,15.80,15.81,-1,-1,0,1,1,0
96,Gujarat,Kachchh,Bhuj,Varli,,SGWB,,23.1,69.8,85.15,Unconfined,0.6834736087,58.7,57.28,58.9,57.23,,58.28,57.65,58.58,57.78,59.38,9,-0.92,2.1,-1.42,-1.67,,0.93,1.6,-0.14,58.26,58.15,58.20,-1,-1,0,1,1,0
97,Gujarat,Kachchh,Bhuj,Bharasar,,SGWB,,23.18,69.57,87.5,Unconfined,0.710768254,62.75,61.38,62.85,61.48,,62.08,61.7,62.38,61.83,63.28,9,-0.92,1.9,-1.37,-1.37,,0.68,1.45,-0.15,62.28,62.12,62.19,-1,-1,0,1,1,0
98,Gujarat,Kachchh,Mandvi,Koday,,SGWB,,22.43,69.39,86.3,Unconfined,0.7915926355,68.55,67.18,68.65,67.28,,68.18,67.6,68.38,67.98,71.03,9,-0.57,3.85,-1.37,-1.37,,0.78,3.05,0.27,68.20,68.41,68.31,-1,-1,0,1,1,0
